feature,importance_mean,importance_std
size,-0.002964235669380144,0.0008543204934750769
title_status,-0.006856986356987865,0.002523460387646486
paint_color,-0.01372313711822501,0.0039242345686889765
region,-0.014077426075374405,0.002974160369697842
state,-0.015373269338798012,0.0011711788605150144
transmission,-0.03305175589127338,0.0023465149077708655
miles_per_year,-0.03321635269259779,0.00261661601411096
condition,-0.04046997520838047,0.004093310742250842
drive,-0.05339428693308226,0.003423762227665433
fuel,-0.06238739394729534,0.00652932500524259
cylinders,-0.07224810239008259,0.006427898260274891
type,-0.07343105230184205,0.004334154758965207
lat,-0.0968749933326615,0.009020281927689177
long,-0.10070595407747401,0.006250297579872553
manufacturer,-0.1046641517185489,0.005959261600987154
model,-0.1124872779304672,0.0030433403944080985
car_age,-0.14137916895588265,0.005507439974934356
odometer,-0.2178632447941593,0.008459544818228271
year,-0.23000520516239148,0.01091078528587723
