feature,importance_mean,importance_std
region,0.0014505897723821048,0.0018179337365470394
state,-0.004933824444172008,0.0010744669731695966
title_status,-0.004974472434079225,0.0005572239338911267
size,-0.005152472602222291,0.0010050110872030782
paint_color,-0.005185724283421678,0.0003507351212850285
transmission,-0.009876244384796395,0.0019152024351392072
condition,-0.016341469156025412,0.0036587224581173805
miles_per_year,-0.03804935994100722,0.005558891185112547
cylinders,-0.05224970692083508,0.00123576572720141
type,-0.06848730487518262,0.0020073866858982825
fuel,-0.07028745310261897,0.00485261899671352
drive,-0.07147647764066134,0.004592662339066855
manufacturer,-0.08063128004536246,0.007006440494193966
long,-0.08264037040328975,0.00368848580586445
model,-0.0898404003398049,0.005433838247142719
lat,-0.0924248564527802,0.0029942114164792644
car_age,-0.1518960903532699,0.003123427133651213
odometer,-0.17340955936320068,0.009119178921487836
year,-0.21209775041169365,0.0021775814312452457
