feature,importance_mean,importance_std
miles_per_year,0.6100141710790103,0.10169559072242285
odometer,0.2660275327767051,0.025777886145763262
state,0.04352767477671016,0.001690273785294849
condition,0.027945053710673795,0.0005458651374317114
lat,0.0005795506558535779,0.00014912024141289226
transmission,4.858461096446387e-05,0.001944630351141341
title_status,-0.0013833520404089583,0.0005438848956116349
long,-0.001989084742431313,0.00761114281963815
paint_color,-0.003392892370354006,0.0009104582211721945
manufacturer,-0.004928993178107133,0.005915481584332971
size,-0.006125247819727231,3.1522023673624666e-05
region,-0.012975956744535,0.002870345009116204
drive,-0.025176739521108327,0.0013572655789150234
cylinders,-0.03850829572522174,0.0009163215875175323
model,-0.04926379115565138,0.002297387053565969
type,-0.05897029153543154,0.002631287450419517
year,-0.06770517138349996,0.0040695157986869734
car_age,-0.06770517138737586,0.004069515798977075
fuel,-0.07138663313699145,0.003081123667104446
description,-0.23446773554862133,0.0110588380679848
